context,config,native_cache_bytes_model,packed_cache_bytes_model,cache_saved_fraction,unfused_slowdown_vs_native,output_cosine,output_relative_rmse
1024,none,29360128,29360128,0.0,1.0,0.9999998211860657,0.0
1024,k8v4,29360128,12959744,0.55859375,5.974999990905053,0.9954854846000671,0.09588971734046936
1024,k4v8,29360128,13418496,0.54296875,6.387890768955962,0.9969562292098999,0.07818999141454697
1024,k4v4,29360128,9748480,0.66796875,7.975000536601888,0.9930506348609924,0.119374118745327
1024,k3v4,29360128,8945664,0.6953125,15.163281587934133,0.9830309152603149,0.18578244745731354
1024,k4v3,29360128,8830976,0.69921875,15.199609717623716,0.977508544921875,0.21874943375587463
4096,none,117440512,117440512,0.0,1.0,1.0000001192092896,0.0
4096,k8v4,117440512,49430528,0.5791015625,5.488372258296495,0.994835376739502,0.1018778383731842
4096,k4v8,117440512,49889280,0.5751953125,5.488372258296495,0.9953861832618713,0.09602310508489609
4096,k4v4,117440512,35209216,0.7001953125,6.732557964423951,0.9912815093994141,0.13225045800209045
4096,k3v4,117440512,31653888,0.73046875,16.744549757820597,0.9802172183990479,0.20129123330116272
4096,k4v3,117440512,31539200,0.7314453125,16.499999746187527,0.9745913743972778,0.2305368334054947
16384,none,469762048,469762048,0.0,1.0,1.0,0.0
16384,k8v4,469762048,195313664,0.584228515625,8.27999979045243,0.9947432279586792,0.10297472774982452
16384,k4v8,469762048,195772416,0.583251953125,8.359999619709967,0.9911510944366455,0.13477635383605957
16384,k4v4,469762048,137052160,0.708251953125,10.206666290257145,0.9917368292808533,0.12951990962028503
16384,k3v4,469762048,122486784,0.7392578125,26.16666598757732,0.9809281826019287,0.1986839473247528
16384,k4v3,469762048,122372096,0.739501953125,26.519998890173984,0.9755392670631409,0.22917617857456207
32768,none,939524096,939524096,0.0,1.0,1.0000001192092896,0.0
32768,k8v4,939524096,389824512,0.5850830078125,11.55670183979721,0.9944487810134888,0.10566868633031845
32768,k4v8,939524096,390283264,0.5845947265625,11.70570265575463,0.9875020980834961,0.16168954968452454
32768,k4v4,939524096,272842752,0.7095947265625,14.495328910051008,0.9917298555374146,0.12971073389053345
32768,k3v4,939524096,243597312,0.74072265625,38.20103276596364,0.9798816442489624,0.20445604622364044
32768,k4v3,939524096,243482624,0.7408447265625,38.46907365354649,0.974320650100708,0.23425926268100739
