context,native_decode_median_ms,unfused_decode_median_ms,fused_decode_median_ms,fused_speedup_vs_unfused,fused_speedup_vs_native,unfused_transient_peak_delta_bytes,fused_transient_peak_delta_bytes,kernel_output_cosine,kernel_output_relative_rmse
1024,0.03993599861860275,0.3092480003833771,0.12492799758911133,2.4754098869053753,0.3196721262590985,2891776,16384,0.999995231628418,0.0031073351856321096
4096,0.043007999658584595,0.30822399258613586,0.17663999646902084,1.7449275291408435,0.2434782638037889,11763712,53248,0.999994158744812,0.0034262898843735456
16384,0.07782399654388428,0.7976959943771362,0.3983359932899475,2.002570713705241,0.19537274525738485,46268416,202752,0.9999943971633911,0.003338941838592291
32768,0.10287999734282494,1.4479360580444336,0.707584023475647,2.0463097102336816,0.1453961563991782,92602368,402432,0.999994158744812,0.003424686612561345
