alpha,perturb_target,layer_spec,num_examples,kl_p_to_q,kl_q_to_p,js,tv,accept_mass,top1_match,top5_overlap,draft_prob_on_target_top1,target_prob_on_target_top1,gen_exact_match,gen_prefix_match_len
0.0,both,all,128,4.188450475339778e-09,4.188450475339778e-09,-3.6501568165673887e-09,0.0,1.0000002486631274,1.0,1.0,0.5444108007359318,0.5444108007359318,1.0,16.0
0.0001,both,all,128,0.0007973450926583858,0.0007976073616298152,0.00019929669730089916,0.012431473384992842,0.9875687845051289,1.0,0.9828125010244548,0.5438433238305151,0.5444108007359318,0.7890625,14.5625
0.0003,both,all,128,0.0008318159128724578,0.0008295785354264229,0.00020759362445396667,0.012555865560186952,0.9874443737789989,0.984375,0.9859375008381903,0.5447164072538726,0.5444108007359318,0.8125,14.5625
0.001,both,all,128,0.0007797264877815735,0.0007770054446791796,0.00019451387143401555,0.011706129965450174,0.9882941320538521,0.984375,0.9843750009313226,0.5440815851907246,0.5444108007359318,0.796875,14.3984375
0.003,both,all,128,0.0009436218845184641,0.0009432711786274695,0.00023573194559389776,0.012932959845130654,0.9870672831311822,0.984375,0.9765625013969839,0.5442180458921939,0.5444108007359318,0.78125,14.25
0.01,both,all,128,0.032834601852265166,0.03898418884392285,0.00471982191941045,0.02735458800430024,0.9726456659846008,0.9765625,0.9578125020489097,0.5393905178402747,0.5444108007359318,0.75,13.8203125
0.03,both,all,128,1.539489790932862,2.1498337668938916,0.1831482181557078,0.36028004604963826,0.639720238403811,0.625,0.640625006868504,0.3705787937966253,0.5444108007359318,0.015625,1.984375
0.1,both,all,128,4.911838601459749,7.123634757241234,0.5117294475494418,0.8303902593906969,0.1696100497840689,0.1640625,0.19218750426080078,0.06594629954635892,0.5444108007359318,0.0,0.203125
0.0,keys,all,128,4.188450475339778e-09,4.188450475339778e-09,-3.6501568165673887e-09,0.0,1.0000002486631274,1.0,1.0,0.5444108007359318,0.5444108007359318,1.0,16.0
0.0001,keys,all,128,0.0008183854938370594,0.0008188263112194338,0.00020456530313803234,0.01207358547651971,0.987926674541086,0.984375,0.9812500011175871,0.5434616919374093,0.5444108007359318,0.78125,14.1484375
0.0003,keys,all,128,0.0007525786893598507,0.0007520191410868016,0.00018799467078800536,0.011466082989322501,0.9885341804474592,0.9921875,0.9843750009313226,0.5443421635427512,0.5444108007359318,0.8046875,14.6015625
0.001,keys,all,128,0.0007489229165523192,0.0007484846868404116,0.00018708593612387636,0.010811797458275763,0.9891884503886104,0.9921875,0.993750000372529,0.5444105738424696,0.5444108007359318,0.78125,14.3046875
0.003,keys,all,128,0.000958774749374669,0.0009633070431167567,0.00024004561179491457,0.012657967893687783,0.9873422794044018,0.9921875,0.9843750009313226,0.5441419312846847,0.5444108007359318,0.78125,14.5234375
0.01,keys,all,128,0.007614724213302004,0.005830801972098731,0.001536273172665803,0.025219775418300117,0.9747804808430374,0.9765625,0.9703125017695129,0.5433560003293678,0.5444108007359318,0.703125,13.5859375
0.03,keys,all,128,1.4550860223170048,2.126961446299333,0.17616965051158218,0.34768655083280464,0.6523137256802443,0.6171875,0.6359375074971467,0.3686180123185536,0.5444108007359318,0.0078125,1.890625
0.1,keys,all,128,5.076193306551431,7.229687411832856,0.5312240580096841,0.8539425313938409,0.14605776497388234,0.109375,0.16093750321306288,0.056078356699472226,0.5444108007359318,0.0,0.171875
0.0,values,all,128,4.188450475339778e-09,4.188450475339778e-09,-3.6501568165673887e-09,0.0,1.0000002486631274,1.0,1.0,0.5444108007359318,0.5444108007359318,1.0,16.0
0.0001,values,all,128,0.0007169561581088502,0.0007149472011988012,0.0001789152043902842,0.01064052013161998,0.989359731785953,0.9921875,0.9843750009313226,0.5449509444879368,0.5444108007359318,0.7890625,14.578125
0.0003,values,all,128,0.0007910504761587944,0.0007905643545329522,0.0001976209425880171,0.012028075450999154,0.9879721784964204,0.9921875,0.9859375008381903,0.5439587492146529,0.5444108007359318,0.75,14.2421875
0.001,values,all,128,0.0007682288840044071,0.0007696205733986883,0.000192154432959335,0.011570431069685583,0.9884298192337155,0.984375,0.9890625006519258,0.5434640160528943,0.5444108007359318,0.8125,14.59375
0.003,values,all,128,0.0007865883819540009,0.0007873444928470086,0.00019667064106332344,0.01214485199870552,0.9878553971648216,0.984375,0.9890625006519258,0.5438640367938206,0.5444108007359318,0.8125,14.609375
0.01,values,all,128,0.0008798828329457109,0.0008767520988612887,0.00021948403556470986,0.013003421003826787,0.9869968304410577,0.9921875,0.9828125010244548,0.5456757726497017,0.5444108007359318,0.8046875,14.4140625
0.03,values,all,128,0.0015615734345599819,0.0015535489001834435,0.00038897591565878464,0.017608688208895273,0.9823915744200349,0.9921875,0.9828125010244548,0.5464456913759932,0.5444108007359318,0.7421875,13.9296875
0.1,values,all,128,0.007597653019900008,0.007572889122684501,0.0018793347002770133,0.03665661197524628,0.9633436570875347,0.953125,0.9468750031664968,0.5373783195973374,0.5444108007359318,0.4765625,11.171875
