alpha,perturb_target,layer_spec,num_examples,kl_p_to_q,kl_q_to_p,js,tv,accept_mass,top1_match,top5_overlap,draft_prob_on_target_top1,target_prob_on_target_top1,gen_exact_match,gen_prefix_match_len
0.0,keys,layer_0,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_0,32,0.0011374064126243866,0.001161598792748464,0.00028673101586207395,0.01272765891326344,0.9872725531458855,1.0,0.9625000022351742,0.6273097242228687,0.6265926496125758,0.875,14.90625
0.03,keys,layer_0,32,1.1442035169093288,2.053563051247693,0.17273612095777935,0.33332388419876224,0.6666763842076762,0.65625,0.6562500079162419,0.4348287526408967,0.6265926496125758,0.0,2.75
0.1,keys,layer_0,32,4.947010095231235,6.939156269654632,0.5181350648635998,0.8434227714315057,0.15657753511095507,0.15625,0.20000000623986125,0.06346302388009573,0.6265926496125758,0.0,0.15625
0.0,values,layer_0,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_0,32,0.0008484941035931115,0.0008372511313723408,0.00021059447784921304,0.011128892519082001,0.9888713322579861,1.0,0.993750000372529,0.6284182067029178,0.6265926496125758,0.84375,14.6875
0.03,values,layer_0,32,0.0006874004579344728,0.0006824979625434935,0.00017113597577633755,0.01030964156848313,0.9896905571222305,1.0,0.993750000372529,0.6271370204631239,0.6265926496125758,0.84375,14.78125
0.1,values,layer_0,32,0.0006859924730235889,0.000682641349470714,0.00017096358632784359,0.009491214316312835,0.9905089996755123,1.0,1.0,0.624787813751027,0.6265926496125758,0.78125,14.59375
0.0,keys,layer_1,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_1,32,0.0006927430057004358,0.000688318743527816,0.00017256000233700775,0.010382982017858922,0.9896172266453505,1.0,0.9875000007450581,0.629414412425831,0.6265926496125758,0.78125,14.40625
