k_mse,v_mse,k_cos,v_cos,k_mse_identity,v_mse_identity,k_cos_identity,v_cos_identity,layer_idx,big_layer_idx
0.6542623704299331,0.022667186800390482,0.9999312702566385,0.9290770487859845,5256.84969329834,0.23711335891857743,-0.12627766514196992,0.00505771703501523,0,0
0.3516235570423305,0.03123227649484761,0.9981494965031743,0.8761833142489195,117.22375416755676,0.20042116823606193,-0.013902829799917527,-0.003743332265457866,1,1
0.5347838783636689,0.12085460836533457,0.9545534597709775,0.7558581698685884,8.739844635128975,0.5160111985169351,-0.016819983828099794,-0.01083697620924795,2,3
0.5125826802104712,0.1435997597873211,0.9219395434483886,0.7411218471825123,6.603359505534172,0.5266993595287204,-0.031419255188666284,0.018060914018860785,3,4
0.614646889269352,0.2604790076147765,0.8775480277836323,0.6233797837048769,5.845875211060047,0.6811197623610497,-0.007073452852637274,-0.012565504166559549,4,5
0.48309882543981075,0.3092602235265076,0.8922215914353728,0.6652971552684903,5.635374560952187,0.8827516734600067,-0.09696587768848985,-1.93748164747376e-05,5,6
0.8708161488175392,0.19118282618001103,0.8491517109796405,0.7051624283194542,5.296400487422943,0.7421072172001004,0.034857514925533906,0.004851416277233511,6,8
0.5133291254751384,0.2044815442059189,0.9747840529307723,0.6470751743763685,13.00650641322136,0.6621158868074417,-0.011796217717346735,0.009495637281361269,7,9
0.7195293223485351,0.26590056670829654,0.8824263550341129,0.7014573691412807,5.864251546561718,0.97259253077209,0.004300994212826481,0.003572053843527101,8,10
0.5924927974119782,0.2500837096013129,0.8979171644896269,0.686082698404789,6.056144319474697,0.9080726290121675,-0.004287449271942023,-0.009669639668572927,9,12
0.5578735675662756,0.3490823800675571,0.9015735788270831,0.6098194494843483,6.04761615395546,1.0111675597727299,0.03919670118375507,-0.001791531718481565,10,13
0.5672346316277981,0.2360700040590018,0.905736630782485,0.7098476970568299,6.9013079553842545,0.8943507866933942,-0.0276622361925547,0.020503931771600037,11,14
0.5874842181801796,0.30824482161551714,0.8806280493736267,0.7174949031323195,6.463305965065956,1.0335990246385336,0.01368041737259773,-0.005872960482520284,12,16
0.5204404848627746,0.22517761611379683,0.9139363951981068,0.7537350840866566,6.080171182751656,1.045320326462388,-0.018050086309813196,-0.0006327210085146362,13,17
1.0946526490151882,0.38223825581371784,0.8055464643985033,0.7039025807753205,8.202849686145782,1.3118996620178223,0.213072057813406,-0.020205120599712245,14,18
0.41620917711406946,0.3150051231496036,0.9941405793651938,0.6052190978080034,39.67218804359436,1.1520466040819883,0.005920144336414523,-0.003906572652340401,15,19
0.47152129793539643,0.27894049463793635,0.9158542631193995,0.7517982199788094,6.470113925635815,1.311275564134121,-0.02816525144589832,0.008113862280879403,16,21
0.3838598388247192,0.4895127038471401,0.9155641291290522,0.5904977256432176,4.691990487277508,1.3969689328223467,0.03148396636242978,-0.0013766913862127694,17,22
0.43556188652291894,0.3098337920382619,0.9429172929376364,0.7385003948584199,7.633923888206482,1.230398740619421,-0.06985098187578842,-0.0040437891002511606,18,23
0.39681677194312215,0.3801430403254926,0.92942906729877,0.7106358529999852,5.171181596815586,1.5967568177729845,0.011361551285517635,0.006835298649093602,19,25
0.44352861447259784,0.5850867331027985,0.9187320955097675,0.6269508898258209,4.782818049192429,1.6771096028387547,0.12750260857865214,0.007801134750479832,20,26
0.3871753104031086,0.4650260731577873,0.9205780318006873,0.7368812784552574,22.54941236972809,1.9105757772922516,-0.003883097455400275,-0.001102937963878503,21,27
0.5522264060564339,0.7615578211843967,0.9077336937189102,0.5591927329078317,7.384551756083965,1.9689146894961596,-0.014549722694937373,0.008629586381175613,22,29
0.4180853236466646,0.8484066585078835,0.9228339195251465,0.7081264620646834,4.910952761769295,3.106344174593687,-0.019350054546521278,0.006579912209417671,23,30
0.4625483066774905,1.613878907635808,0.9100722502917051,0.6350288325920701,5.611525438725948,4.820436492562294,-0.0623800681787543,-0.006929936219421506,24,31
0.4362461818382144,2.3177501931786537,0.9060700554400682,0.66475326474756,4.5616175308823586,10.47598583996296,-0.012532313767223968,-0.021171050422708504,25,32
0.5205006045289338,5.763155370950699,0.8799815215170383,0.41218187753111124,4.315141938626766,8.289643809199333,0.07612897193757817,0.0008725726720513194,26,34
0.48564514238387346,5.23574086278677,0.8724579624831676,0.4446077896282077,7.349075570702553,8.052022725343704,-0.27013516961596906,-0.0038384962808777345,27,35
