context,config,target_config,draft_config,num_seeds,paired_prompt_count,paired_acceptance_delta_mean,paired_acceptance_delta_ci_low,paired_acceptance_delta_ci_high,accept_rate_mean,round_js_mean,bf16_reference_sequence_match_mean,bf16_reference_token_match_mean,bf16_reference_exact_count,bf16_reference_tie_count,bf16_reference_non_tie_count,target_cache_saved_fraction,draft_cache_saved_fraction,total_cache_saved_fraction
1024,target_k4v4__draft_k4v4,k4v4,k4v4,3,190,-0.011046868526965348,-0.027953172370171586,0.005805025614300852,0.5219576907237712,0.0647443369067752,0.609375,0.8274739583333334,171,90,27,0.6633413461538461,0.6633413461538461,0.6633413461538461
1024,target_k4v4__draft_k4v8,k4v4,k4v8,3,190,-0.010251900277715054,-0.026973820104310264,0.0059671447057932925,0.5227176306809233,0.06492935978624968,0.6145833333333334,0.8310546875,173,89,26,0.6633413461538461,0.5383413461538461,0.6086538461538461
1024,target_k4v4__draft_k8v4,k4v4,k8v4,3,190,-0.008974925611183848,-0.025434020241205335,0.007180392031299054,0.5240564506254151,0.06533991597473217,0.6197916666666666,0.8326822916666666,172,88,28,0.6633413461538461,0.5556490384615385,0.6162259615384615
1024,target_k4v4__draft_k8v8,k4v4,k8v8,3,190,-0.009727748697758498,-0.026701065514920574,0.0073371669577053655,0.5232567454323073,0.06487651697347908,0.609375,0.828125,169,91,28,0.6633413461538461,0.43064903846153846,0.5615384615384615
1024,target_k4v4__draft_none,k4v4,none,3,190,-0.011286472510303347,-0.026471766624770465,0.0036749882040063575,0.5216949175368905,0.0647143693479198,0.6197916666666666,0.8323567708333334,171,91,26,0.6633413461538461,0.0,0.3731295072115385
1024,target_k4v8__draft_k4v4,k4v8,k4v4,3,190,-0.009739140803658453,-0.023628776872546386,0.0038776154377029304,0.5238306259762019,0.06594683451012893,0.71875,0.8743489583333334,209,74,5,0.5383413461538461,0.6633413461538461,0.5930288461538461
1024,target_k4v8__draft_k4v8,k4v8,k4v8,3,190,-0.006638767585918526,-0.018882816433642313,0.005515527837096301,0.5265715180718229,0.06496263671408499,0.7395833333333334,0.8828125,214,69,5,0.5383413461538461,0.5383413461538461,0.5383413461538461
1024,target_k4v8__draft_k8v4,k4v8,k8v4,3,190,-0.004583109691958076,-0.017833847444416517,0.008446761455824126,0.5289824994061472,0.06559085333876409,0.734375,0.8792317708333334,213,70,5,0.5383413461538461,0.5556490384615385,0.5459134615384615
1024,target_k4v8__draft_k8v8,k4v8,k8v8,3,190,-0.0041550835265989905,-0.017407049118559503,0.008636698100577878,0.5290562359745993,0.06517910497962365,0.7291666666666666,0.8792317708333334,213,70,5,0.5383413461538461,0.43064903846153846,0.49122596153846154
1024,target_k4v8__draft_none,k4v8,none,3,190,-0.006928989969768984,-0.017555133796818057,0.0032741835070525527,0.5264449482300684,0.06504094408797294,0.734375,0.8798828125,214,69,5,0.5383413461538461,0.0,0.3028170072115385
