pair,pair_label,run,context,dataset,seed,config,config_label,num_prompts,accept_rate,accept_ci_low,accept_ci_high,acceptance_retained,accepted_per_round,top1_match,round_js,accept_mass,draft_cache_saved_fraction,total_cache_saved_fraction,exact_match,tie_consistent_mismatches,non_tie_mismatches,unknown_mismatches,valid_exact_generation,summary_path
qwen3_8b_4b,Qwen3 8B/4B,wikitext_ctx4096,4096,wikitext,0,k4v4,K4 V4,12,0.48880597014925375,0.3980263157894737,0.601752414252414,0.7504204330460374,1.9549272486772484,0.7534060846560847,0.07542254375788696,0.7722255167753372,0.7375,0.28365384615384615,1.0,0,0,0,True,outputs/iclr_spec_kv/qwen3_8b_4b/wikitext_ctx4096/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,allocation_ctx1024,1024,wikitext,0,none,BF16,32,0.4794326241134752,0.42317584284658344,0.5419911820921424,1.0,1.8806051587301587,0.7561631944444445,0.07442202467617255,0.7503318748965356,0.0,0.0,0.75,7,1,0,False,outputs/iclr_spec_kv/smollm2_17b_360m/allocation_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,allocation_ctx1024,1024,wikitext,0,sensitivity_aware,Sensitivity-aware,32,0.4654696132596685,0.4128133159268929,0.5261584454409567,0.9708759684854033,1.8151289682539682,0.7396081349206349,0.07885525268134441,0.7416186234714197,0.168212890625,0.029002222521551723,0.71875,8,1,0,False,outputs/iclr_spec_kv/smollm2_17b_360m/allocation_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,wikitext,0,none,BF16,32,0.4794326241134752,0.4246031746031746,0.5467075038284839,1.0,1.8806051587301587,0.7561631944444445,0.07442202467617255,0.7503318748965356,0.0,0.0,0.75,7,1,0,False,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,wikitext,0,k8v8,K8 V8,32,0.469187675070028,0.41414901238799057,0.5320121951219512,0.9786310974093779,1.8343253968253967,0.743812003968254,0.07744609024411696,0.7453837528763827,0.484375,0.08351293103448276,0.78125,6,1,0,False,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,wikitext,0,k8v4,K8 V4,32,0.48714285714285716,0.4312169312169312,0.5521512505899009,1.0160819949281488,1.9134920634920636,0.754749503968254,0.07456936019430717,0.7505067844690371,0.609375,0.1050646551724138,0.75,7,1,0,False,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,wikitext,0,k4v8,K4 V8,32,0.39027431421446385,0.32954545454545453,0.45714285714285713,0.8140337027254348,1.592631934038184,0.6808891629204129,0.09620294527846962,0.7072482984341504,0.609375,0.1050646551724138,0.84375,5,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,wikitext,0,k4v4,K4 V4,32,0.3883374689826303,0.3261608154020385,0.45879403131115454,0.809993833233001,1.6295510912698412,0.7057291666666666,0.09413581334192135,0.7119649701053277,0.734375,0.12661637931034483,0.84375,5,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx1024/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,wikitext,0,none,BF16,12,0.375,0.29479689167024953,0.47253246753246747,1.0,1.5137235449735449,0.6833664021164022,0.07906184841611696,0.7324191421157035,0.0,0.0,0.5833333333333334,5,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx4096/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,wikitext,0,k8v8,K8 V8,12,0.36163522012578614,0.29428571428571426,0.4452296819787986,0.9643605870020964,1.4426917989417989,0.6550925925925926,0.0788269744301923,0.7325145901717915,0.484375,0.08351293103448276,0.5,6,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx4096/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,wikitext,0,k8v4,K8 V4,12,0.3682539682539683,0.29629112352576037,0.4548736462093863,0.9820105820105821,1.4764219576719577,0.6650132275132276,0.07841451925148717,0.7355010008104342,0.609375,0.1050646551724138,0.5,6,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx4096/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,wikitext,0,k4v8,K4 V8,12,0.3264094955489614,0.2572159730033746,0.40816326530612246,0.8704253214638972,1.3179743867243867,0.630203823953824,0.10829636351971263,0.6795523252499439,0.609375,0.1050646551724138,0.5,6,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx4096/summary.json
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,wikitext,0,k4v4,K4 V4,12,0.32448377581120946,0.26190164547494393,0.40131578947368424,0.8652900688298919,1.3189003126503127,0.6186297498797498,0.10564047066336112,0.6801889215148501,0.734375,0.12661637931034483,0.5,6,0,0,True,outputs/iclr_spec_kv/smollm2_17b_360m/wikitext_ctx4096/summary.json
