pair,pair_label,naive_k8v4_minus_k4v8,naive_ci_low,naive_ci_high,kivi_k8v4_minus_k4v8,kivi_ci_low,kivi_ci_high,geometry_shift_kivi_minus_naive,naive_total_saved_fraction,kivi_total_saved_fraction,kivi_equal_memory_gap
llama31_8b_llama32_3b,Llama 3.1/3.2,0.011300922655363643,-0.019074159383851083,0.042819465812714466,-0.00440904627194022,-0.019401283911695988,0.010594039255530097,-0.015709968927303863,0.28802083333333334,0.2552644230769231,0.008076923076923037
olmo2_7b_1b,OLMo 2 7B/1B,-0.0018762437875292082,-0.023018937014631705,0.020491197413737627,-0.00795994465755967,-0.022153116808450557,0.004534412955465583,-0.006083700870030462,0.1234375,0.10939903846153846,0.0034615384615384603
qwen25_3b_15b,Qwen2.5 3B/1.5B,0.3118274513082585,0.23328884403185088,0.3900371823539156,0.0019505415072045285,-0.012774283717679857,0.016841828858701335,-0.309876909801054,0.27001953125,0.2393103966346154,0.0075721153846153855
qwen25_7b_3b,Qwen2.5 7B/3B,0.12513339473887097,0.07539387430909947,0.17836890463402047,0.0018368846436443986,-0.010879961740793864,0.01498297477660021,-0.12329651009522657,0.24150815217391305,0.21404159698996655,0.0067725752508361325
qwen3_8b_4b,Qwen3 8B/4B,0.1090813006445196,0.046129248442413215,0.1726969161204975,-0.005849323638302872,-0.018750125147674268,0.006439920391570597,-0.11493062428282247,0.23557692307692307,0.20857988165680474,0.006656804733727817
smollm2_17b_360m,SmolLM2 1.7B/360M,0.09686854292839331,0.05357800500726446,0.14305293791550153,-0.0006024773719618404,-0.009835869916982487,0.00842587754666474,-0.09747102030035515,0.1050646551724138,0.09296253315649866,0.0029840848806366033
