model,config,num_runs,num_prompt_occurrences,cache_saved_fraction,exact_sequence_match,token_match_fraction,prefix_retained_fraction
Qwen2.5-1.5B,k4v8,3,96,0.5356557612695492,0.3125,0.5748697916666666,0.5179036458333334
Qwen2.5-1.5B,k8v4,3,96,0.5539400298988041,0.14583333333333334,0.4659830729166667,0.4021809895833333
Llama-3.2-3B,k4v8,3,96,0.5356557612695492,0.28125,0.55712890625,0.5016276041666666
Llama-3.2-3B,k8v4,3,96,0.5539400298988041,0.22916666666666666,0.4853515625,0.4332682291666667
OLMo-2-1B,k4v8,3,96,0.5356557612695492,0.4166666666666667,0.6822916666666666,0.6409505208333334
OLMo-2-1B,k8v4,3,96,0.5539400298988041,0.2708333333333333,0.5423177083333334,0.5006510416666666
SmolLM2-360M,k4v8,3,96,0.5278432612695492,0.2604166666666667,0.5472005208333334,0.4939778645833333
SmolLM2-360M,k8v4,3,96,0.5461275298988041,0.13541666666666666,0.4775390625,0.3907877604166667
